base_id,scenario_id,schedule_case,V,AHT,OCC,SHK,Hg,T,week_pattern,p_weekdays,weekday_split,weekday_step,K,ratio_target,pos1,pos2,width1,width2,width_assignment_rule,peak_amplitude_rule,peak_amplitude_ratio
D_043dfe7bf7,D_043dfe7bf7_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,4,10.0,28.0,25.0,16.0,extremes_high_low,different_1_gt_2,2.0
D_043dfe7bf7,D_043dfe7bf7_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,4,10.0,28.0,25.0,16.0,extremes_high_low,different_1_gt_2,2.0
D_0485f529ff,D_0485f529ff_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,12.0,38.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_0485f529ff,D_0485f529ff_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,12.0,38.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_04af7ad0fb,D_04af7ad0fb_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,4,12.0,38.0,17.0,13.0,extremes_high_low,equal,2.0
D_04af7ad0fb,D_04af7ad0fb_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,4,12.0,38.0,17.0,13.0,extremes_high_low,equal,2.0
D_04c28ec2a9,D_04c28ec2a9_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_04c28ec2a9,D_04c28ec2a9_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_04db856dc8,D_04db856dc8_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,1,4,14.0,,24.0,,,,
D_04db856dc8,D_04db856dc8_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,1,4,14.0,,24.0,,,,
D_051c45730f,D_051c45730f_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,1,4,25.0,,24.0,,,,
D_051c45730f,D_051c45730f_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,1,4,25.0,,24.0,,,,
D_05207fb994,D_05207fb994_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,2,22.0,40.0,13.0,13.0,equal,equal,2.0
D_05207fb994,D_05207fb994_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,2,22.0,40.0,13.0,13.0,equal,equal,2.0
D_05bf23f4f8,D_05bf23f4f8_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,6,12.0,38.0,13.0,17.0,extremes_low_high,equal,2.0
D_05bf23f4f8,D_05bf23f4f8_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,6,12.0,38.0,13.0,17.0,extremes_low_high,equal,2.0
D_05fef259ee,D_05fef259ee_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,6,12.0,38.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_05fef259ee,D_05fef259ee_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,6,12.0,38.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_062f4d405f,D_062f4d405f_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,equal,2.0
D_062f4d405f,D_062f4d405f_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,equal,2.0
D_0636480b03,D_0636480b03_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,22.0,40.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_0636480b03,D_0636480b03_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,22.0,40.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_064cca168d,D_064cca168d_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,12.0,38.0,17.0,17.0,equal,equal,2.0
D_064cca168d,D_064cca168d_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,12.0,38.0,17.0,17.0,equal,equal,2.0
D_0697fea2d7,D_0697fea2d7_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,12.0,38.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0
D_0697fea2d7,D_0697fea2d7_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,12.0,38.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0
D_078c91cecc,D_078c91cecc_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,1,2,36.0,,16.0,,,,
D_078c91cecc,D_078c91cecc_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,1,2,36.0,,16.0,,,,
D_07acc429d0,D_07acc429d0_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,10.0,28.0,25.0,16.0,extremes_high_low,different_1_gt_2,2.0
D_07acc429d0,D_07acc429d0_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,10.0,28.0,25.0,16.0,extremes_high_low,different_1_gt_2,2.0
D_07f886fe3b,D_07f886fe3b_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_07f886fe3b,D_07f886fe3b_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_0838670b42,D_0838670b42_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,10.0,28.0,16.0,25.0,extremes_low_high,equal,2.0
D_0838670b42,D_0838670b42_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,10.0,28.0,16.0,25.0,extremes_low_high,equal,2.0
D_086aaf0aa5,D_086aaf0aa5_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,12.0,38.0,17.0,17.0,equal,different_1_lt_2,2.0
D_086aaf0aa5,D_086aaf0aa5_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,12.0,38.0,17.0,17.0,equal,different_1_lt_2,2.0
D_08766bbd4b,D_08766bbd4b_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,4,10.0,28.0,16.0,16.0,equal,different_1_gt_2,2.0
D_08766bbd4b,D_08766bbd4b_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,4,10.0,28.0,16.0,16.0,equal,different_1_gt_2,2.0
D_08f004279a,D_08f004279a_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0
D_08f004279a,D_08f004279a_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0
D_09049d7832,D_09049d7832_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,1,6,36.0,,24.0,,,,
D_09049d7832,D_09049d7832_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,1,6,36.0,,24.0,,,,
D_092ad24f92,D_092ad24f92_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,6,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0
D_092ad24f92,D_092ad24f92_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,6,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0
D_09a24721dd,D_09a24721dd_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,12.0,38.0,13.0,17.0,extremes_low_high,equal,2.0
D_09a24721dd,D_09a24721dd_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,12.0,38.0,13.0,17.0,extremes_low_high,equal,2.0
D_0a2d2f0f4c,D_0a2d2f0f4c_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,10.0,28.0,25.0,16.0,extremes_high_low,different_1_lt_2,2.0
D_0a2d2f0f4c,D_0a2d2f0f4c_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,10.0,28.0,25.0,16.0,extremes_high_low,different_1_lt_2,2.0
D_0a76dc150b,D_0a76dc150b_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,22.0,40.0,15.0,15.0,equal,equal,2.0
D_0a76dc150b,D_0a76dc150b_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,22.0,40.0,15.0,15.0,equal,equal,2.0
D_0ab2966bf1,D_0ab2966bf1_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,10.0,28.0,16.0,16.0,equal,equal,2.0
D_0ab2966bf1,D_0ab2966bf1_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,10.0,28.0,16.0,16.0,equal,equal,2.0
D_0ab937d5a8,D_0ab937d5a8_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,4,12.0,38.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_0ab937d5a8,D_0ab937d5a8_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,4,12.0,38.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_0b0f64f77c,D_0b0f64f77c_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,4,22.0,40.0,13.0,13.0,equal,different_1_gt_2,2.0
D_0b0f64f77c,D_0b0f64f77c_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,4,22.0,40.0,13.0,13.0,equal,different_1_gt_2,2.0
D_0b16c23ca5,D_0b16c23ca5_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,1,6,36.0,,24.0,,,,
D_0b16c23ca5,D_0b16c23ca5_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,1,6,36.0,,24.0,,,,
D_0b1ea3b617,D_0b1ea3b617_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,6,10.0,28.0,25.0,25.0,equal,different_1_gt_2,2.0
D_0b1ea3b617,D_0b1ea3b617_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,6,10.0,28.0,25.0,25.0,equal,different_1_gt_2,2.0
D_0bee3b95f7,D_0bee3b95f7_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,10.0,28.0,25.0,25.0,equal,equal,2.0
D_0bee3b95f7,D_0bee3b95f7_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,10.0,28.0,25.0,25.0,equal,equal,2.0
D_0c009959f9,D_0c009959f9_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,2,2,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_0c009959f9,D_0c009959f9_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,2,2,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_0c1731150a,D_0c1731150a_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,1,6,14.0,,20.0,,,,
D_0c1731150a,D_0c1731150a_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,1,6,14.0,,20.0,,,,
D_0c38dabe3e,D_0c38dabe3e_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,2,10.0,28.0,25.0,16.0,extremes_high_low,different_1_gt_2,2.0
D_0c38dabe3e,D_0c38dabe3e_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,2,10.0,28.0,25.0,16.0,extremes_high_low,different_1_gt_2,2.0
D_0c81c83e29,D_0c81c83e29_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,2,22.0,40.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_0c81c83e29,D_0c81c83e29_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,2,22.0,40.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_0cbdcfbe69,D_0cbdcfbe69_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,4,10.0,28.0,25.0,25.0,equal,equal,2.0
D_0cbdcfbe69,D_0cbdcfbe69_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,4,10.0,28.0,25.0,25.0,equal,equal,2.0
D_0cc0d87f06,D_0cc0d87f06_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,4,22.0,40.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_0cc0d87f06,D_0cc0d87f06_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,4,22.0,40.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_0cd0e6980e,D_0cd0e6980e_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0
D_0cd0e6980e,D_0cd0e6980e_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0
D_0cdae4fece,D_0cdae4fece_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,2,22.0,40.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_0cdae4fece,D_0cdae4fece_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,2,22.0,40.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_0ced13b8b3,D_0ced13b8b3_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,6,10.0,28.0,25.0,16.0,extremes_high_low,different_1_lt_2,2.0
D_0ced13b8b3,D_0ced13b8b3_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,6,10.0,28.0,25.0,16.0,extremes_high_low,different_1_lt_2,2.0
D_0d14df0258,D_0d14df0258_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,1,6,36.0,,20.0,,,,
D_0d14df0258,D_0d14df0258_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,1,6,36.0,,20.0,,,,
D_0dc6fbe029,D_0dc6fbe029_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,10.0,28.0,25.0,25.0,equal,equal,2.0
D_0dc6fbe029,D_0dc6fbe029_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,10.0,28.0,25.0,25.0,equal,equal,2.0
D_0de94d3f8f,D_0de94d3f8f_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,6,22.0,40.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_0de94d3f8f,D_0de94d3f8f_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,6,22.0,40.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_0e12dda376,D_0e12dda376_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,6,22.0,40.0,13.0,13.0,equal,different_1_lt_2,2.0
D_0e12dda376,D_0e12dda376_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,6,22.0,40.0,13.0,13.0,equal,different_1_lt_2,2.0
D_0e247f285e,D_0e247f285e_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,2,2,12.0,38.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_0e247f285e,D_0e247f285e_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,2,2,12.0,38.0,13.0,17.0,extremes_low_high,different_1_lt_2,2.0
D_0e4a0f02b9,D_0e4a0f02b9_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,22.0,40.0,13.0,13.0,equal,different_1_lt_2,2.0
D_0e4a0f02b9,D_0e4a0f02b9_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,22.0,40.0,13.0,13.0,equal,different_1_lt_2,2.0
D_0e6aa869fb,D_0e6aa869fb_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,10.0,28.0,20.0,20.0,equal,different_1_lt_2,2.0
D_0e6aa869fb,D_0e6aa869fb_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,10.0,28.0,20.0,20.0,equal,different_1_lt_2,2.0
D_0ea6ad0038,D_0ea6ad0038_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,10.0,28.0,16.0,16.0,equal,equal,2.0
D_0ea6ad0038,D_0ea6ad0038_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,10.0,28.0,16.0,16.0,equal,equal,2.0
D_0eaab21604,D_0eaab21604_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,10.0,28.0,16.0,25.0,extremes_low_high,equal,2.0
D_0eaab21604,D_0eaab21604_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,10.0,28.0,16.0,25.0,extremes_low_high,equal,2.0
D_0f233364c7,D_0f233364c7_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0
D_0f233364c7,D_0f233364c7_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0
D_0f4cb75b7f,D_0f4cb75b7f_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,10.0,28.0,20.0,20.0,equal,different_1_gt_2,2.0
D_0f4cb75b7f,D_0f4cb75b7f_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,10.0,28.0,20.0,20.0,equal,different_1_gt_2,2.0
D_0f6d4f5aae,D_0f6d4f5aae_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,12.0,38.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_0f6d4f5aae,D_0f6d4f5aae_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,12.0,38.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_0f8d76c60d,D_0f8d76c60d_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,4,12.0,38.0,15.0,15.0,equal,equal,2.0
D_0f8d76c60d,D_0f8d76c60d_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,4,12.0,38.0,15.0,15.0,equal,equal,2.0
D_108a3975a9,D_108a3975a9_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,12.0,38.0,15.0,15.0,equal,equal,2.0
D_108a3975a9,D_108a3975a9_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,12.0,38.0,15.0,15.0,equal,equal,2.0
D_108a75de50,D_108a75de50_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,6,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_108a75de50,D_108a75de50_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,6,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_108d3edefa,D_108d3edefa_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,10.0,28.0,20.0,20.0,equal,equal,2.0
D_108d3edefa,D_108d3edefa_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,10.0,28.0,20.0,20.0,equal,equal,2.0
D_1125c448e4,D_1125c448e4_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,1,2,14.0,,24.0,,,,
D_1125c448e4,D_1125c448e4_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,1,2,14.0,,24.0,,,,
D_115386380b,D_115386380b_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,10.0,28.0,25.0,25.0,equal,different_1_gt_2,2.0
D_115386380b,D_115386380b_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,10.0,28.0,25.0,25.0,equal,different_1_gt_2,2.0
